pretrade_id,decided_at_utc,as_of,security_code,security_name,quality_tier,valuation_tier,strategy_tag,signal_ref,research_card_ref,thesis_summary,bear_case,base_case,bull_case,implied_expectation_gap,odds_ratio,odds_threshold_met,falsification_condition,target_position_pct,tranche_plan,add_conditions,trim_exit_conditions,catalyst_map,top_risk_playbook,exposure_check_single,exposure_check_chain,exposure_check_industry,hidden_beta_note,first_tranche_amount_cny,stop_loss_price,single_trade_risk_pct,risk_within_limit,same_day_check_note,decision_result,decision_log_id,element_checks_passed,research_items_pending,research_due_note,reclass_note_v124
PT-20260722-05,2026-07-22T07:21:09+00:00,2026-07-22,002049,紫光国微,L2,较低估(现档),D-产业链爆发/关键瓶颈型,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,265902,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核,off_system,pretrade_decision:2026-07-22:002049:01,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：7/22 快照为 **wait_repair、有效段 0/需3、action_bias=仅观察**——**当日完全无右侧信号**即入场，第5项缺失确凿，与割肉价无关。
PT-20260722-06,2026-07-22T07:21:09+00:00,2026-07-22,600600,青岛啤酒,L2,低估(现档),A-DCF/现金流复利型,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,74339,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核；建仓额7.4万不足轻仓档,off_system,pretrade_decision:2026-07-22:600600:01,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核**维持 off_system，理由更换**：7/22 快照为 **弱级、action_bias=等确认**（有效段 3/需2、现档低估），非割肉价问题。与高德红外 2026-07-29 同因。
PT-20260722-07,2026-07-22T07:21:09+00:00,2026-07-22,600519,贵州茅台,L1,低估(现档),A-DCF/现金流复利型,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,261009,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核；性质为轻仓升重仓加仓——§13加仓条件1（趋势成立）不满足：加仓时收盘价低于MA120趋势卖出许可在案,compliant,pretrade_decision:2026-07-22:600519:01,1✓ 5✓ 7✓ 11✓ 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 **改判 compliant**：7/22 快照为 **强级、有效段 4/需1 达标、现档低估、action_bias=可建目标仓位1/3**。原 off_system 唯一依据是建仓时割肉价空缺（当日盘后补设 1265），v1.25 起不作判据。
PT-20260723-01,2026-07-23T16:33:33+00:00,2026-07-23,000423,东阿阿胶,L2,低估(现档),A-DCF/现金流复利型,成交后补记（§10.4）；当日信号A×中4段有效/需2达标，见daily_buy_candidates 2026-07-23,,"用户7/23乌龙指残仓回补5,200股（26.65万），未走§10闸门，成交后如实补记",,,,,,,,,,,,,,,,,,266532,47,,true,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对未做；14:40时间窗未核；包络超限期买入（7/22待办：先11.6万收敛再议回补，未执行）；割肉价47在案、单笔风险约0.8%N合规,compliant,pretrade_decision:2026-07-23:000423:01,1✓ 5✓ 7✓ 11✓ 12✓ 13✓ 14✓,"2,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,"v1.24 **改判 compliant（按流程买入）**：第1项 L2×低估过矩阵、第5项 A×中有效段4/需2达标、第7项割肉价47已设、第12项单笔风险约0.86%N（29.15万×8.1%÷约275万）在限内、第14项未过度延伸。原 off_system 唯一依据是""事后补记""这一时序理由，v1.24 已撤销该理由。"
PT-20260723-02,2026-07-23T16:33:33+00:00,2026-07-23,300750,宁德时代,L1,较低估(现档),D-产业链爆发/关键瓶颈型,成交后补记（§10.4）；当日8.7.9a/b一段首信号（段位1/需2未达），见daily_buy_candidates 2026-07-23,,用户7/23新建700股@385.963（27.02万轻仓档），未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,270174,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验未做；段位1/需2未达（买早一段）；收盘低于MA60+MA120；包络超限期买入；14:40时间窗未核,off_system,pretrade_decision:2026-07-23:300750:01,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：第5项**有效段 1/需2 未达**（8.7.9a/b 一段首信号，L1×较低估需二段）即入场，与割肉价无关。
PT-20260723-03,2026-07-23T16:33:33+00:00,2026-07-23,600066,宇通客车,L2,较低估(现档),A-DCF/现金流复利型,成交后补记（§10.4）；当日A×中3/3段，见daily_buy_candidates 2026-07-23,,用户7/23做T：卖500@32.36买回500@32.19，净敞口不变，成交后如实补记,,,,,,,,,,,,,,,,,,16095,29,,true,缺项：§10闸门未走；卖出腿不属§14四类许可（做T不在清单）；净敞口/风险不变,compliant,pretrade_decision:2026-07-23:600066:01,1✓ 5✓ 7✓ 11✓ 12✓ 13✓ 14✓,"2,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.24 **改判 compliant**：L2×低估过矩阵、A×中 3/需3 达标、割肉价29已设、单笔风险约0.14%N、未过度延伸。原 off_system 依据仅为事后补记。
PT-20260724-01,2026-07-24T06:42:59+00:00,2026-07-24,600415,小商品城,L2,低估(审定=现档),C-GARP成长型,daily_buy_candidates 2026-07-24 盘中：A×弱、§8.13有效段4/需2达标（7/15一段8.7.9a/8.7.8→7/16二段升三段→7/21-22四段强口径8.7.2量比2.32/1.62）；7/23-24缩量回踩延续（量比1.31/1.02未触放量下跌失效）；失效线=收盘<9.76（7/15启动阳线低点），有效期至7/29,valuation_202607_b18（带16.7-25.1）+ §5.4.5边缘判例14（vs轻纺城）+ 一季报复核2026-07-10,义乌市场生态垄断（独占资产+租金市场化通道已打开+全球级生态），六区爬坡+老区租金重签+贸易服务（Chinagoods/义支付）变现三驱动；FY2025+36.8%、Q1 2026+23.3%连续验证；26E前瞻PE约10x×一致增速17%→PEG约0.6，带内中枢空间约+90%,全球贸易摩擦升级压制义乌出口流量；租金重签量价不及预期；H股发行摊薄；中报增速失速,26E净利+17-25%，租金+服务双轮，PEG向1.0修复（对应带底16.7）,六区满租+重签超预期+服务收入放量，PEG 1.0-1.5带上沿（25.1）,现价11.02≈10x前瞻PE仅计价个位数永续，未定价多年期租金重签结构性提价与服务弹性；预期差=增长持续性,,,收盘<9.76右侧事实失效（§8.13规则4）；租金重签连续两期低于指引或中报增速失速至个位数=GARP标签证伪,轻仓25万≈9.0%N（定档由用户逐票决定，待确认）,一笔建满所选档位（§13.6）；仅14:40-15:00时间窗执行,轻仓升重仓须§10闸门+§13加仓条件（反转态：结构未破且收盘≥MA20+基本面继续验证+未入高估）,Tier-0割肉价触及无条件清仓（待用户给定）；现档较高估/高估估值卖出留底≥建仓金额；反转态走坏（收盘<启动结构9.76或<MA20）趋势卖出,①中期分红方案（8月中报季，公告级，7/20提议已部分定价）②H股上市获批（2026H2，影响中，未充分定价）③8月中报增速验证（届时触发§7.5.5复核）④六区租金重签滚动数据,中报失速→复核带+按卖出许可执行；H股折价发行→摊薄复核带；贸易政策冲击→无对冲，按趋势线纪律执行,25万≈9.0%N＜30%红线,无同产业链持仓,商贸零售当前持仓占比0%,出口链beta与现组合（消费/医药/资源/电力设备/金融）无显著重叠,250000,待用户给定（体系参考锚=启动结构9.76，距现价-11.4%）,按9.76锚约1.04%N,true(按参考锚),当日核对通过：7/20董事长提议中期分红≥H1净利25%（临2026-027，公告级）；无减持/问询/澄清检出（媒体检索口径）；7/23 -5.5%无公司公告对应判获利回吐；§8.8未过度延伸；同业无更强替代（判例14）；中报预告未披露、无§7.5冻结。缺项（hold_off原因）：资金侧未解决——现金0、包络171.0%N超上限第8日（缺口30.6万）、融资棘轮§13.7禁止卖出回笼滚入买入→体系内需先腾挪≥55.6万（缺口30.6+轻仓25）使买入后≤160%N；仓位定档与割肉价待用户给定,hold_off,pretrade_decision:2026-07-24:600415:01,,,,v1.24 未改判（hold_off 为前置拦截成功，非成交记录）
PT-20260724-02,2026-07-24T07:13:17+00:00,2026-07-24,600415,小商品城,L2,低估(审定=现档),C-GARP成长型,daily_buy_candidates 2026-07-24：§8.13有效段4/需2达标（失效线9.76、有效期至7/29）,valuation_202607_b18 + §5.4.5判例14 + 一季报复核2026-07-10,义乌市场生态垄断，六区爬坡+老区租金重签+贸易服务变现三驱动；FY2025+36.8%/Q1 2026+23.3%连续验证；PEG约0.6深低估,贸易摩擦压制出口流量；租金重签不及预期；H股摊薄；中报失速,26E净利+17-25%，PEG向1.0修复,六区满租+重签超预期+服务放量，PEG 1.0-1.5,现价仅计价个位数永续，未定价多年期租金提价与服务弹性,,,收盘<9.76右侧事实失效；中报增速失速至个位数或租金重签连续两期低于指引=GARP证伪,实际21.02万≈7.6%N（不足轻仓25万约4万）,一笔成交（盘后回报）,补足至轻仓25万须§10闸门+§13加仓条件,Tier-0(10.5)无条件清仓；较高估/高估估值卖出留底≥建仓金额；反转态破9.76或MA20趋势卖出,"①中期分红方案(8月中报季,公告级,7/20提议)②H股上市获批(2026H2,中)③8月中报增速验证④六区租金重签滚动数据",中报失速→复核带按许可执行；H股折价→摊薄复核；贸易冲击→按趋势线纪律,21.02万≈7.6%N＜30%红线,无同产业链持仓,商贸零售当前0%,出口链beta与现组合无显著重叠,210240,10.5,0.31,true,当日核对：7/20董事长提议中期分红≥H1净利25%（临2026-027，公告级）；无减持/问询/澄清；§8.8未过度延伸；同业无更强替代（判例14）。off_system缺项：§10闸门未前置、不足轻仓档、包络超限期建仓、14:40窗未核,compliant,pretrade_decision:2026-07-24:600415:02,1✓ 5✓ 7✓ 11✓ 12✓ 13✓ 14✓,"2,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.24 **改判 compliant**：L2×低估过矩阵、有效段4/需2达标（失效线9.76未破）、割肉价10.5、单笔风险0.31%N、未过度延伸。
PT-20260727-01,2026-07-27T08:50:00+00:00,2026-07-27,600415,小商品城,L2,低估(审定=现档),C-GARP成长型,daily_buy_candidates 2026-07-27：弱级、§8.13有效段4/需2达标延续（失效线9.76、有效期至7/29内有新触发）,PT-20260724-02 + valuation_202607_b18 + §5.4.5判例14,义乌市场生态垄断，六区爬坡+老区租金重签+贸易服务变现三驱动（沿用PT-20260724-02）,贸易摩擦压制出口流量；租金重签不及预期；H股摊薄；中报失速,26E净利+17-25%，PEG向1.0修复,六区满租+重签超预期+服务放量，PEG 1.0-1.5,现价仅计价个位数永续，未定价多年期租金提价与服务弹性,,,收盘<9.76右侧事实失效；中报增速失速至个位数或租金重签连续两期低于指引=GARP证伪,加仓后25.00万≈8.6%N（轻仓档足额）,"补足档位的第二笔（3,600股@11.05）",已足额轻仓；升重仓须过§10闸门+§13加仓条件,Tier-0(10.5)无条件清仓；较高估/高估估值卖出留底≥建仓金额；反转态破9.76或MA20趋势卖出,"①中期分红方案(8月中报季,公告级,7/20提议)②H股上市获批(2026H2,中)③8月中报增速验证④六区租金重签滚动数据",中报失速→按许可执行；H股折价→摊薄复核；贸易冲击→按趋势线纪律,25.00万≈8.6%N＜30%红线,无同产业链持仓,商贸零售8.6%N,出口链beta与现组合无显著重叠,39780,10.5,0.44,true,当日核对：无当日公司公告/减持/问询/澄清；+1.37%量比1.13，§8.8未过度延伸。off_system缺项：①§10闸门未前置（盘后回报，事后补卡）②§13加仓条件未逐项核（反转态：启动结构9.76未破✓、收盘11.10≥MA20✓、基本面无新证据）③14:40时间窗未核④包络超限第9日净增敞口买入。非红线（右侧信号在案非R1、割肉价未动非R4、单票敞口未超限非R5）,compliant,pretrade_decision:2026-07-27:600415:01,1✓ 5✓ 7✓ 11✓ 12✓ 13✓ 14✓,"2,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.24 **改判 compliant**：补足轻仓档加仓，有效段4/需2达标延续、割肉价10.5、单笔风险0.44%N。
PT-20260727-02,2026-07-27T08:50:00+00:00,2026-07-27,688278,特宝生物,L2,中性(审定=现档),C-GARP成长型,daily_buy_candidates 2026-07-27：A×中，8.7.9a平台企稳大阳+8.7.9d平台上沿新高，当日新达2段、§8.13有效段3/需3达标（L2×中性需三段）,valuation_202607_b16（2026-07-10 一季报口径）+ tier_rebuild_202607_b11（L2，判例7品类独家）,长效干扰素派格宾国内独家（罗氏退出后无竞品），乙肝临床治愈适应症扩容；FY2025营收+31.2%/归母+24.6%、ROE34.8%、毛利率93%,2026Q1归母-9.7%/扣非-12.3%（营收仍+18.5%，净利率27.9%→20.6%）已是核心单品增长骤停首个信号；26E一致预期+23.8%面临下修（最近一份太平洋6/11仅11.64亿/+12.9%）；单品依赖度极高；乙肝治愈新机制药物远期替代,26E归母11.6-12.8亿（+13%~+24%），归一化PEG约1.0，维持中性带49.0-62.4,乙肝临床治愈指南渗透+适应症拓展，28E利润19.9亿×PE18x≈358亿,市场按一致预期定价三年24.6%复合增长；预期差在Q1失速是否为季度扰动——分歧点是中报，而非估值倍数,,,中报扣非仍负增长或全年指引下修至+10%以下=GARP增长可防守性证伪，改贴E-落难白马或降档；收盘跌破57.69(≈MA20)右侧事实失效,25.57万≈8.8%N（轻仓档足额）,"一笔建仓（1,977@60.024+2,280@60.09）",升重仓须过§10闸门+§13加仓条件，且须中报增速回正,Tier-0(57.69)无条件清仓；现价>62.4转较高估即获估值卖出许可（留底≥25.57万）；反转态破MA20或启动结构趋势卖出,①2026中报（8月，最迟8/31，公告级）——增速回正与否是本仓唯一决定性催化，未定价②特宝转债15.33亿 7/28网上申购、7/30起息（公告级，已发生，摊薄未定价）③ACT201注射液临床试验批准（7/16自愿披露，公告级，已部分定价）④乙肝临床治愈指南/适应症进展（时点不定）,中报失速→按§7.3估值复核重定带、按许可减仓；破57.69→Tier-0无条件清仓；转股价58.56下修/摊薄兑现→复核带,25.57万≈8.8%N＜30%红线,医药链已有迈瑞8.8%N，合计17.6%N,医药生物17.6%N（迈瑞+特宝）＜30%红线,与迈瑞共享医药政策beta（创新药/器械政策脉冲同向）；单品集中风险不共享,255673,57.69,0.43,true,"当日核对（事后补）：+2.94%量比1.19收位0.86，§8.8未过度延伸（距MA20 +5.1%）。**闸门第13项漏检**：7/24已公告可转债发行（15.33亿、转股价58.56、7/28申购），属""融资""事项，买入前未核；全额转股摊薄+6.41%（EPS折让-6.0%），一致预期未含此项。off_system缺项：①§10闸门未前置②当日事实核对第13项漏检（融资）③14:40时间窗未核④包络超限第9日净增敞口建仓。非红线（右侧三段信号在案非R1、割肉价当日已设非R4、单票8.8%N未超限非R5）。**副产品**：股权登记日恰为2026-07-27，持仓4,257股获原股东优先配售约16手（16,419元→取整16,000元/160张），须7/28申报""特宝配债""726278",compliant,pretrade_decision:2026-07-27:688278:01,1✓ 5✓ 7✓ 11✓ 12✓ 13✓ 14✓,"2,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.24 **改判 compliant**：L2×中性过矩阵、A×中三段达标（L2×中性需三段）、割肉价57.69、单笔风险0.43%N。注：该仓次日即 Tier-0 出场（-4.46%），但**要素齐全与结果好坏无关**——compliant 判定的是过程合规，不预测结果；其止损距离约-3.9%≈0.8×ATR20 偏窄，属 §12.6 待议的止损下限问题，非要素缺失。
PT-20260729-01,2026-07-29T15:25:00Z,2026-07-29,605499,东鹏饮料,L2,较低估(审定)/中性(现档),C-GARP成长型,daily_buy_candidates 2026-07-28：A×中、§8.13段位3/需3达标（8.7.2放量突破关键均线+8.7.0+8.7.9a+8.7.8+8.7.9d五形态叠加，当日最强多形态）；档位较低估→中性（带135-203贴带底）,valuation_202607_b05（C档PEG中性带1.0-1.5，26E前瞻16.2x/一致增速18%→PEG0.90）+ tier L2（core层）,能量饮料品类心智+百万终端渠道，第二曲线放量，FY2025+32.7%/Q1+28.3%连续验证，PE-TTM 19x处自身0.6%分位,行业增速见顶；第二曲线不及预期；大股东减持；渠道库存与价格战,,,,,,收盘跌破启动结构127（7/28触发日最低价）即右侧事实失效；中报增速失速,轻仓,,,,,,,,,,256727,127,0.53,yes,盘后回报既成事实：14:40时间窗未核；当日公告/催化第13项未前置核对；§8.8过度延伸7/28未触发,compliant,execution_record:2026-07-29:605499:01,1✓ 5✓ 7✓ 11✓ 12✓ 13✓ 14✓,"2,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.24 **改判 compliant**：L2×中性过矩阵、A×中 3/需3 达标（五形态）、割肉价127（=启动结构锚）、单笔风险0.53%N。
